Job ID,Job Title,Company,Metro Area,City,State,Industry,Role Category,Role Group,Employment Type,Work Arrangement,Salary Min,Salary Max,Salary Avg,Salary Listed?,Experience Required,Degree Required,SQL Required,Python Required,Excel Required,Power BI Required,Tableau Required,ServiceNow Required,Ticketing Required,Cloud Required,Healthcare/Research Related,Security Clearance Mentioned,U.S. Citizenship Required,Clearance/Citizenship Barrier?,Posting URL,Date Collected,Notes
1,IT Staff Auditor,"TFC Consulting, Inc.",Bethesda/DC,Rockville,MD,Government Contractor / Federal Consulting,IT Audit / Risk / Cybersecurity,Business / ITSM / Process,Full-time,On-site / limited hybrid possible,75000,Unknown,75000,Yes,Entry-level role; 1 year listed for several federal/audit-related skills,Yes,0,0,1,0,0,0,0,0,0,0,1,Yes,Unknown,7/9/2026,"Entry-level IT audit role involving ITGCs, access/change management, IT operations, audit workpapers, documentation, walkthroughs, risk/compliance, NIST, FISMA, and cybersecurity. Requires U.S. citizenship."
2,"Coordinator, Technology Department",EAB,Bethesda/DC,Washington,DC,Education Technology / Consulting / Data Analytics,Technology Operations / Tech Department Coordination,Business / ITSM / Process,Full-time,Hybrid,40000,40000,40000,Yes,Entry-level; customer service/team/office/leadership experience preferred,Yes,0,0,1,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Technology department coordinator role involving liaison work, customer service, executive calendars, onboarding, training, events, and tech operations support. More administrative/operations-focused than hands-on technical."
3,Help Desk Specialist,IntePros Federal,Bethesda/DC,Washington,DC,Government Contractor / Federal IT,IT Support / Help Desk,IT Support / Help Desk,Full-time,On-site,60000,70000,65000,Yes,6 months to 1 year preferred,Unknown,0,0,0,0,0,1,1,0,0,1,0,Yes,https://inteprosfed.isolvedhire.com/jobs/1801223-358405.html,7/9/2026,"Top Secret-cleared Tier I/II help desk role involving Active Directory, Exchange, VDI, PKI, monitoring, ticketing, and after-hours support."
4,US-Technical Specialist,Apple,Bethesda/DC,Bethesda,MD,Retail / Consumer Electronics / Technology,Technical Support / Retail Technology Support,IT Support / Help Desk,Full-time,On-site,47840,63627,55733.5,Yes,Entry-level; no specific years listed,No,0,0,0,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Apple retail technical support role involving customer troubleshooting, device support, technical explanations, and hands-on service."
5,Junior IT Consultant,Strategio,Bethesda/DC,Unknown / DMV Area,MD,IT Consulting / Early-Career Training / Financial Services Client,IT Consulting / Data Engineering / Software / DevOps,Software / Application,Full-time,Hybrid,Unknown,Unknown,,No,0 years; early-career training role,Yes,1,1,0,0,0,0,0,1,0,0,0,No,Unknown,7/9/2026,"Early-career IT consulting role with funded training tracks in data engineering, governance, software, and DevOps. Check repayment or contract terms before accepting."
6,IT Support Technician I,Grossberg Company LLP,Bethesda/DC,Bethesda / North Bethesda,MD,Accounting / Tax / Business Consulting,IT Support / Desktop Support,IT Support / Help Desk,Full-time,On-site,50000,75000,62500,Yes,2 years technical support preferred,No,0,0,0,0,0,0,1,0,0,0,0,No,https://grossberg.catsone.com/careers/122/jobs/16812260-IT-Support-Technician-I,7/9/2026,"Helpdesk and desktop support role involving PC, printer, peripherals, password resets, setup/deployment, inventory, reimaging, Windows support, and ticketing."
7,Help Desk Specialist I,NuAxis Innovations,Bethesda/DC,Washington,DC,Federal IT / Government Contractor / Transportation IT,IT Support / Help Desk,IT Support / Help Desk,Full-time,On-site / 24x7x365 coverage mentioned,Unknown,Unknown,,No,0?1 year IT experience,Unknown,0,0,0,0,0,0,1,0,0,0,0,No,https://phg.tbe.taleo.net/phg02/ats/careers/v2/viewRequisition?org=NUAXINNO&cws=39&rid=4070&source=LinkedIn,7/9/2026,"WMATA Tier I support role involving phone, chat, email, ticket logging, SLAs, incidents, problems, service requests, Windows, Microsoft 365, VPN, and background investigation."
8,Enterprise IT Analyst L1 / Workplace IT Support Analyst L1,Versant Media,Bethesda/DC,Washington,DC,Media / Entertainment / Enterprise IT,IT Support / Enterprise IT / Workplace Support,IT Support / Help Desk,Full-time,On-site 4?5 days/week with possible part-time WFH,Unknown,Unknown,,No,1+ year IT experience,Unknown,0,0,0,0,0,0,1,1,0,0,0,No,Unknown,7/9/2026,"Workplace IT support role involving TechBar support, break/fix, Windows, Mac, Office 365, Active Directory, MDM, ITIL, and enterprise user support."
9,Help Desk Professional,Tecolote Research,Bethesda/DC,Arlington,VA,Government Contractor / Business Consulting / Defense Support,IT Support / Help Desk,IT Support / Help Desk,Full-time,On-site,Unknown,Unknown,,No,0?2 years for Helpdesk Professional I,No,0,0,0,0,0,0,1,0,0,1,1,Yes,https://tecolote.com/careers/job/ee1844ab-5908-4568-a01c-576ba76f5ae9,7/9/2026,"Help desk role supporting end users and remote workforce with Windows, Active Directory, Office 365, Exchange, printers, Windows Server, Okta MFA, and equipment support. Requires citizenship and clearance."
10,Technical Support Representative Level I,Datawatch Systems,Bethesda/DC,Bethesda,MD,Security Systems / Access Control / Building Technology,Technical Support / Customer Support / Access Control Systems,IT Support / Help Desk,Full-time,On-site,41600,45760,43680,Yes,Entry-level technical/customer support,No,0,0,0,0,0,0,1,0,0,0,0,No,Unknown,7/9/2026,"Technical support role for access control and fire monitoring systems, including support tickets, visitor entry, reports, and customer troubleshooting."
