Job ID,Job Title,Company,Metro Area,City,State,Industry,Role Category,Employment Type,Work Arrangement,Salary Min,Salary Max,Experience Required,Degree Required,SQL Required,Python Required,Excel Required,Power BI Required,Tableau Required,ServiceNow Required,Ticketing Required,Cloud Required,Healthcare/Research Related,Security Clearance Mentioned,U.S. Citizenship Required,Posting URL,Date Collected,Notes
S-01,Internal Developer ? Internal Tools & AI Driven Projects,FRANdata,Bethesda/DC,Arlington,VA,Business Data / Franchise Analytics / AI Tools,Software Development / AI / Internal Tools,Full-time,Hybrid,65000,90000,2?5 years desired,Unknown,1,1,0,0,0,0,0,0,0,0,0,Unknown,7/9/2026,"Stretch role. Early-career internal developer role involving Python, SQL, AI/LLM tools, OCR, React, TypeScript, Node, Express, MySQL, vector search, ChromaDB, RAG, internal tools, automation, and AI-driven projects. Kept in stretch because it asks for more experience than the main entry-level target."
S-02,Data Engineering Specialist,AAMC,Bethesda/DC,Washington,DC,Healthcare / Medical Education / Research Data,Data Engineering / Cloud Data / ETL,Full-time,Remote eligible,95795,112700,2?4 years data engineering experience,Unknown,1,0,0,0,0,0,0,1,1,0,0,Unknown,7/9/2026,"Stretch role. Data engineering role involving AWS Glue, S3, Lambda, Snowflake, ETL/ELT, lakehouse/warehouse concepts, governance, data pipelines, and cloud data infrastructure. Kept in stretch because it is above normal entry-level experience and salary range."
S-03,Software Engineer,Leidos,Bethesda/DC,McLean,VA,Defense / Intelligence / Federal Contractor,Software Engineering / Data Engineering / Cloud,Full-time,On-site / unclear,87100,157450,4 years with bachelor's or 2 years with master's,Yes,1,1,0,0,0,0,0,1,0,1,1,Unknown,7/9/2026,"Stretch/clearance-only role. Software engineering role involving ETL, AWS, Hadoop, NiFi, APIs, Python, SQL, and cloud/data systems. Excluded from main dataset because it requires active TS/SCI with Polygraph and more experience than the main entry-level target."
S-04,Software Engineer,Metron,Bethesda/DC,Reston,VA,Defense / National Security / Technology,Software Engineering / Full-Stack / AI & Cloud,Full-time,Unknown,Unknown,Unknown,2+ years experience,Unknown,0,0,0,0,0,0,0,1,0,1,1,Unknown,7/9/2026,"Stretch role. Software engineering role involving React, TypeScript, Java, Rust, full-stack development, AI/ML, cloud, Docker, Kubernetes, and national security technology. Kept in stretch because it asks for 2+ years and includes citizenship/security investigation requirements."
S-05,Jr. Database Engineer,Chenega MIOS,Bethesda/DC,Vienna,VA,Federal Contractor / Intelligence / Geospatial Data,Database Engineering / Geospatial Data / SQL,Full-time,On-site / unclear,145000,150000,1+ year database experience,Unknown,1,1,0,0,0,0,0,0,0,1,1,Unknown,7/9/2026,"Stretch/clearance-only role. Junior database engineer role involving Oracle, SQL Server, PostgreSQL, SAP HANA, SQL, Python, ArcGIS, geospatial data, and database support. Excluded from main dataset because it requires active/current TS with SCI eligibility and has a very high salary range for an entry-level comparison."
S-06,Database Engineer - Entry Level,Boeing / Boeing Intelligence & Analytics,Bethesda/DC,Annapolis Junction,MD,Defense / Intelligence / Federal Contractor,Database Engineering / Data Infrastructure / Analytics,Full-time,On-site,70000,90000,"Entry-level title, but requires active TS/SCI with Polygraph and database engineering experience/knowledge",Yes,1,0,0,0,0,0,0,1,0,1,1,https://jobs.boeing.com/job/-/-/185/87605858016?utm_source=linkedin&utm_medium=job_posting&utm_campaign=ra-us,7/9/2026,"Stretch/clearance-only role. Responsibilities include database design, development, implementation, information storage and retrieval, data flow and analysis, relational/object-oriented databases, database parser/loading software, requirements, system testing, ad hoc queries, scripts, macros, ODBC, and cloud database storage/retrieval. Excluded from main dataset because it requires active TS/SCI with Polygraph, has no telework, and is contingent upon program award."
S-07,"Database Engineer, Junior",CGI,Bethesda/DC,Arlington,VA,Federal Contractor / Intelligence / Government IT,Database Engineering / Data Infrastructure / Cloud Databases,Full-time,Hybrid,100000,150000,"0?2 years experience listed, but active TS/SCI required",Yes,1,0,0,0,0,0,0,1,0,1,1,https://cgi.njoyn.com/corp/xweb/xweb.asp?clid=21001&page=jobdetails&jobid=J0925-0613&BRID=1235560&SBDID=943&lang=1,7/9/2026,"Stretch/clearance-only role. Responsibilities include database schemas, SQL code, database structures, performance tuning, indexing, database security, encryption, access controls, backups, upgrades, patching, application integration, and troubleshooting. Excluded from main dataset because it requires active TS/SCI and ability to obtain/maintain TS/SCI with CI Poly."
S-08,BI Developer/Analyst (Data Scientist 2),HII Mission Technologies,Bethesda/DC,Fairfax,VA,Defense / Intelligence / Federal Contractor,Data / BI / Analytics / Data Visualization,Full-time / Contract,On-site / unclear,94750,135357,"2 years with bachelor's, 0 years with master's, or equivalent experience; active TS/SCI required",Yes,1,0,0,1,1,0,0,1,0,1,1,LinkedIn / URL not provided,7/9/2026,"Stretch/clearance-only role. Junior BI Developer/Analyst supporting the DoD/DoW Advana War Data Platform. Responsibilities include structured datasets, dashboards, analytic validation, SQL queries, Databricks SQL, Spark, Tableau Prep, Tableau, Power BI, Superset, data profiling, pipeline monitoring, documentation, metric glossaries, and stakeholder requirements. Excluded from main dataset because it requires active Top Secret clearance with SCI eligibility, U.S. citizenship, and is contingent on contract award."
S-09,"Data Scientist, Junior",Booz Allen Hamilton,Bethesda/DC,Springfield,VA,Government Contractor / Federal Consulting / Data Science,Data Science / Analytics / Machine Learning,Full-time,On-site,62000,141000,"Junior role, but requires data science experience and active Top Secret clearance",Yes,1,1,0,0,0,0,0,0,0,1,1,https://careers.boozallen.com/careers/JobDetail?jobId=126227&source=JB-16280,7/9/2026,"Stretch/clearance-only role. Junior data scientist role involving data exploration, cleaning, analysis, visualization, mining, predictive modeling, quantitative analysis, algorithms, Python, SQL, NoSQL, structured/unstructured data, machine learning, AI, and geospatial tools. Excluded from main dataset because Top Secret clearance is required, with TS/SCI and polygraph preferred."
S-10,Jr. Data Scientist,Systems Planning & Analysis,Bethesda/DC,Alexandria,VA,Defense / National Security / Government Contractor,Data Science / Analytics / Operations Research,Full-time,On-site,85000,105000,"Entry/junior role; familiarity with statistical modeling, exploratory data analysis, and data science methods required; 1+ year desired",Yes,0,1,0,0,0,0,0,0,0,1,1,https://careers-spa.icims.com/jobs/22861/jr.-data-scientist/job?hub=6&mode=apply&iis=LinkedIn,7/9/2026,"Stretch/clearance-only role. Junior data scientist supporting CAPE Defense Analyst Support Hub. Responsibilities include analytic products, data science techniques, statistical analysis, data visualizations, analysis summaries, exploratory data analysis, Python/R, large datasets, analytics, visualization, machine learning, database engineering, operations research, mathematics, and client-facing communication. Excluded from main dataset because it requires active Secret clearance with ability to secure TS/SCI and fully onsite work."
